character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('i', 'i')	4	3	634	0	17	2	11	2	4	12	6	4	2486	137
('o', 'd')	1338	2351	553	163	1412	73	414	819	498	231	112	315	18956	1244
('e', 'b')	594	2121	618	273	826	296	782	1603	1210	403	181	1005	40260	2395
('b', 't')	17	346	95	10	20	5	31	31	257	238	3	2	7077	76
(' ', '-')	272	471	456	120	108	79	334	71	102	38	14	18	7993	1137
('-', ' ')	260	504	442	117	154	85	476	144	138	65	95	113	12946	1308
('a', 'e')	182	386	524	7	1400	10	525	37	174	3	10	168	823	311
('l', 'd')	580	1501	890	299	1503	69	716	2482	1205	246	123	405	13878	3139
('v', 'r')	0	17	588	217	8	0	2	1394	754	25	4	0	164	1383
('o', 'u')	124	31	707	1123	44	0	4313	5050	801	40	10	14	6060	3221
('p', 'â')	1	0	3	13	0	0	3	0	0	0	0	0	0	0
('i', 'j')	17	42	674	1162	45	1	290	3537	2706	3	4	1	115	14477
('z', 'u')	33	57	320	159	128	28	82	1573	706	17	8	160	75290	504
('g', 's')	295	1097	175	93	1408	45	326	581	328	111	88	212	24344	949
('m', 's')	462	530	118	38	630	13	171	376	165	79	29	159	11412	1247
('k', 's')	677	697	462	208	1220	106	528	1251	404	202	116	337	5657	1057
('p', 'o')	398	483	138	93	1263	55	256	957	287	148	116	424	14628	1729
('m', 'd')	87	153	108	81	154	5	93	347	183	31	15	9	2454	643
('z', 'i')	133	140	1157	452	549	21	264	2665	1760	48	60	233	18023	5215
('u', 'z')	7	17	93	31	22	2	20	269	63	4	3	0	1442	202
('j', ' ')	0	44	1081	463	14	0	62	2867	2403	5	10	2	109	4268
('k', 'w')	93	115	286	166	82	9	47	912	282	31	6	12	307	532
('k', 'm')	12	48	4	10	41	6	44	37	8	1	53	10	552	78
('l', 'v')	12	238	71	17	40	9	27	148	78	154	9	17	1380	295
('ä', 'r')	1756	286	128	0	146	61	3832	0	128	15	20	1324	9800	0
('w', 'y')	174	47	35	0	5	24	2	5	0	0	0	2	45	9
('y', 'i')	688	0	0	0	0	0	2	0	0	5	2	0	244	7
('ä', 'h')	527	261	0	0	576	16	1051	0	0	16	71	186	7290	0
('h', 'm')	330	677	6	2	1083	79	1688	7	1	93	121	304	21499	35
('f', 'n')	35	43	4	0	93	4	19	7	4	25	16	40	2193	24
('m', 'h')	19	71	7	9	163	0	25	72	49	12	7	7	2082	58
('ü', 's')	749	1169	5	0	1082	103	808	0	0	210	135	1386	6333	4
('i', 'h')	433	688	0	0	4288	255	1417	9	14	175	304	968	10809	24
('r', 'h')	474	548	72	51	584	39	478	460	189	149	85	184	15932	695
('u', 'd')	1241	466	137	399	2208	50	358	1341	285	121	161	115	4608	1421
('ä', 'n')	1340	318	11	0	1364	60	3170	2	17	292	93	509	15277	2
('n', 'ß')	420	35	0	0	4	0	48	0	0	0	0	0	13	0
('ß', 'e')	434	78	0	0	182	4	75	0	0	6	2	27	9844	0
('h', 'c')	54	1	1	0	1	3	1	1	0	0	0	0	108	9
('j', 'u')	1826	1197	80	33	1468	48	508	129	182	103	118	285	4138	431
('p', 'h')	495	100	19	4	442	7	404	80	337	38	40	48	4297	164
('ä', 'w')	1767	93	0	0	2911	1	704	0	0	3	29	104	0	0
('ö', 'd')	491	216	15	3	280	3	54	22	58	43	18	69	287	0
('w', 'ü')	259	739	1	0	1893	16	485	0	0	77	112	124	3905	0
('ö', 'ß')	13	61	0	0	99	28	6	0	0	0	12	2	3269	0
('d', 'h')	37	55	26	19	158	3	24	85	41	3	5	2	808	340
('ö', 'e')	58	96	8	0	0	0	27	0	0	1	0	160	0	0
('r', 'f')	374	443	51	16	726	41	254	112	55	99	72	97	20162	210
('s', 'w')	478	978	25	23	1402	82	104	340	40	113	36	328	6254	181
('w', 'ä')	399	293	55	0	250	28	1337	0	48	4	98	356	5144	0
('ä', 'c')	294	183	1	0	444	41	772	0	4	6	40	130	7491	1
('r', 'w')	632	400	67	24	752	64	750	378	226	58	54	250	13366	754
('i', 'r')	1761	415	7	59	6364	57	303	289	125	63	113	185	31944	879
('i', 'd')	1427	1413	418	239	4048	72	1218	1443	680	463	126	522	16819	3417
('v', ' ')	27	1214	18	1	38	0	39	40	14	165	18	4	2624	274
('t', "'")	23	452	28	39	1073	2	233	1	0	6	19	0	7	2
('k', 'i')	664	1059	363	169	1643	53	747	1601	807	303	154	648	4861	1387
('g', 'j')	0	9	18	0	25	1	4	35	6	1	0	0	72	23
('h', 'l')	384	875	0	1	1966	131	1761	22	7	126	186	357	33293	21
('s', 'p')	969	1823	335	84	2638	127	1017	1000	665	773	218	419	37740	2163
('b', 'b')	65	1053	297	215	192	113	337	847	229	338	109	730	967	809
('d', 'ä')	696	270	4	0	286	13	1670	0	10	44	18	159	581	1
('t', 'ö')	220	476	53	4	396	25	155	52	28	44	34	34	1103	1
('t', 'j')	8	659	435	228	23	88	8	1730	102	42	4	28	178	347
('n', 'f')	318	412	4	0	595	31	212	26	11	118	76	178	20812	206
('d', 'g')	12	49	7	3	59	2	11	41	25	19	6	11	1992	156
(' ', 'ö')	52	1050	32	0	292	173	485	5	20	284	123	402	2099	1
('ö', 'w')	466	322	10	0	338	9	633	0	3	1	105	12	43	1
('p', 'ü')	22	67	0	0	75	5	87	0	0	6	4	30	311	0
('i', 'b')	38	149	32	20	145	35	141	124	17	21	19	51	13385	243
('ö', 'p')	147	406	56	0	734	53	187	0	23	45	41	144	367	4
('a', 'h')	575	2092	10	7	5860	207	1526	34	11	209	98	1665	34298	83
('h', 'n')	718	2020	5	0	5038	239	2331	19	335	292	382	1096	26096	140
('n', 'h')	196	410	52	40	473	20	231	195	89	58	37	125	5845	446
('h', 'b')	6	43	1	0	60	1	20	6	3	8	3	46	2127	2
('k', 't')	167	1864	390	125	3575	108	258	1324	671	658	207	360	43144	1881
('a', 'o')	549	1	2722	1029	19	0	6173	25	4657	79	1	2	2585	67
('p', 'z')	5	5	18	9	16	0	2	50	26	0	1	2	127	61
('s', 'j')	3	16	89	16	14	0	6	156	64	0	0	4	970	227
('p', 't')	236	708	131	47	1314	66	395	476	221	112	67	177	7040	521
('k', 'â')	0	0	15	2	0	0	22	0	0	0	0	0	0	0
('b', 'â')	0	0	8	7	0	0	11	0	0	0	0	0	0	0
('e', 'z')	23	53	457	169	30	10	44	1495	800	11	7	61	8391	2144
('l', 'ä')	473	285	37	0	1251	38	841	0	7	207	202	250	13404	1
('ä', 'v')	0	131	16	0	2	1	4	0	0	0	0	62	31	0
('i', 'v')	23	224	35	18	60	4	37	227	56	42	21	23	12504	581
('z', 'ö')	2	6	100	45	114	0	10	169	337	2	0	1	906	0
('l', 'f')	191	522	166	59	212	21	199	817	449	35	35	94	6114	844
('f', 's')	169	227	91	34	208	8	135	288	145	41	38	57	3646	438
('u', 'k')	1758	422	416	162	1070	79	1269	1239	662	142	152	1014	8607	631
('v', 'o')	123	2422	388	172	5039	299	463	1857	713	160	449	1565	75048	6572
('e', 'ê')	0	1	66	18	0	0	0	0	0	0	0	0	0	0
('ê', 'g')	0	0	7	6	0	0	6	0	0	0	0	0	0	0
('c', 'e')	0	11	21	4	36	6	17	148	103	27	12	21	13534	1215
('d', 'w')	49	175	34	6	285	4	44	145	55	23	10	51	1656	241
('i', 'p')	429	423	109	73	795	65	788	674	83	57	49	319	8330	464
("'", 's')	25	136	231	86	474	1	113	56	2	11	49	0	351	322
('ò', ' ')	0	0	16	0	0	0	0	0	0	0	0	0	0	0
('i', '-')	2	5	279	3	18	1	24	17	68	9	2	53	2706	45
('-', 'j')	3	8	317	14	7	0	14	16	78	4	1	6	796	146
('d', 't')	89	454	133	32	803	13	464	364	397	98	38	151	2279	1224
(' ', 'ä')	624	228	45	0	2596	26	1506	0	44	12	46	9	2719	0
('p', 'l')	325	495	176	63	630	55	410	697	442	549	216	321	16682	1441
('s', 'd')	54	140	64	30	208	14	107	214	67	97	21	87	3673	313
('r', 'â')	3	0	17	21	0	0	89	0	0	0	0	0	0	0
('w', 'â')	5	0	19	18	0	0	41	0	0	0	0	0	0	0
('w', 'd')	1	8	57	15	62	2	8	113	43	1	1	0	163	195
('c', 'i')	1	54	27	0	54	4	1	53	106	11	5	1	3657	1159
(' ', 'æ')	0	43	0	0	1291	0	0	0	0	0	0	0	0	0
('æ', 'w')	0	48	0	0	1427	0	0	0	0	0	0	0	0	0
('f', 'ö')	268	1114	1	0	1949	21	306	2	0	412	221	3	747	0
('ö', 'k')	334	558	44	2	170	14	33	4	61	68	16	79	301	0
('n', 'ä')	170	263	6	0	475	47	450	1	4	25	84	176	5246	0
('r', 'z')	22	30	68	34	388	48	44	283	137	20	16	88	12204	793
('z', 'b')	10	43	0	0	161	7	5	0	0	4	2	10	1306	15
('t', 'h')	501	464	47	17	1317	27	303	365	231	199	64	170	9897	922
('t', 'ü')	450	1120	4	0	1330	33	489	0	0	177	65	266	4793	2
('u', 'h')	266	323	3	2	1326	82	549	8	0	11	79	456	2205	23
('n', 'ö')	54	361	24	17	201	26	179	32	20	91	20	142	1054	0
('«', ' ')	5	2087	0	0	7638	0	638	0	0	0	0	0	0	409
('ä', 'd')	162	268	2	0	3134	9	120	0	21	8	112	11	1198	0
('b', 'ü')	142	778	1	0	819	6	457	1	0	93	117	171	3783	3
('n', "'")	39	1026	49	13	1552	5	276	1	0	131	240	0	12	3
('r', 'j')	25	96	19	8	378	23	34	39	35	3	6	29	1213	48
('ü', 'h')	188	175	0	0	846	14	368	1	0	31	75	108	10960	0
('t', '.')	99	229	1	8	373	37	215	16	8	27	12	102	698	75
('d', 'ö')	89	1086	21	12	2122	98	189	127	192	162	116	231	63	0
('p', 'ö')	42	101	17	0	167	1	44	0	24	6	4	13	90	0
('r', "'")	24	347	13	19	275	0	145	1	0	5	16	0	28	0
('f', 'c')	1	0	0	0	3	0	1	5	1	0	0	0	306	23
(' ', '’')	1802	742	888	311	1096	999	640	1718	3513	343	256	91	0	0
('’', ' ')	1621	521	460	173	1096	991	640	1547	3338	343	256	91	0	0
('r', 'ö')	551	1335	98	10	1688	100	905	97	126	344	119	176	5532	1
('k', "'")	0	43	5	13	42	0	99	0	0	0	0	0	1	2
('h', 'k')	31	110	3	2	320	6	46	0	0	27	24	44	2839	5
('n', 'w')	93	398	32	14	351	13	137	161	89	32	24	67	6008	542
('p', 'u')	250	416	66	7	680	63	137	347	135	57	47	212	9037	508
('v', 'i')	363	227	195	43	540	17	1147	807	512	178	72	107	19697	2035
('!', ' ')	307	1999	411	40	1999	127	633	374	106	82	19	163	333	59
('n', 'r')	254	178	13	14	942	25	134	100	46	34	27	111	2763	262
('s', 'h')	161	204	36	16	694	9	103	110	58	52	13	40	9454	334
('d', '.')	17	37	1	1	102	3	17	5	3	5	3	7	213	56
('s', 'f')	18	48	3	0	64	3	50	31	27	18	11	37	5017	126
('i', 'w')	833	109	13	7	1789	73	522	73	12	1	28	176	757	13
('b', ' ')	48	397	85	74	216	22	349	531	369	52	20	76	12051	415
('g', 'd')	116	197	102	72	90	5	80	420	180	47	5	7	183	1106
('l', 'b')	50	492	34	29	337	47	123	108	51	48	64	201	8204	313
('k', 'æ')	0	3	0	0	76	0	0	0	0	0	0	0	0	0
('æ', 'n')	0	0	0	0	55	0	0	0	0	0	0	0	0	0
('m', 'ß')	0	1	0	0	9	0	0	0	0	0	0	0	0	0
('“', ' ')	739	65	81	62	2	139	426	649	316	178	120	1679	0	0
(' ', '́')	145	0	0	0	0	0	21	0	0	0	0	0	0	0
('́', 't')	28	0	0	0	0	0	3	0	0	0	0	0	0	0
('z', 'l')	12	33	1	0	78	2	18	0	0	0	17	5	2646	1
('r', 'p')	185	405	71	23	382	33	237	256	129	59	52	165	4082	585
('e', 'x')	26	96	3	0	212	9	61	35	43	73	29	38	8371	424
('x', 'e')	31	86	2	0	133	22	64	20	5	13	4	20	1689	94
('s', "'")	18	103	10	9	535	1	25	1	0	0	6	0	4	3
('t', 'b')	86	178	19	12	170	16	108	177	98	59	34	84	4203	334
('m', 'w')	2	28	7	2	42	0	13	20	7	3	11	13	635	30
('ü', 'e')	725	89	2	0	157	3	1971	0	0	28	16	1276	0	0
('t', 'n')	67	178	17	4	261	7	53	78	41	25	22	27	3624	74
('m', 'ü')	267	587	3	0	1379	18	261	4	0	31	42	62	5093	3
('ü', 'ß')	202	453	0	0	1492	19	39	0	0	11	21	18	370	0
('ß', 't')	78	264	0	0	1523	56	147	0	0	6	35	7	4220	0
('f', 'z')	1	31	8	5	105	6	2	39	14	1	0	37	1082	43
('z', 't')	35	330	1	0	663	11	21	0	2	20	53	5	12736	1
('w', 's')	8	35	12	1	526	9	58	27	4	0	9	2	4780	107
('k', 'y')	12	3	0	0	26	0	9	6	4	1	12	1	269	28
('y', ' ')	454	150	240	0	59	83	422	164	141	43	13	23	8772	587
('d', 'j')	19	25	89	13	118	5	22	277	23	3	0	0	85	85
('d', 'l')	115	249	21	6	605	37	204	40	15	73	45	153	5239	53
('m', 'n')	31	49	38	36	39	1	32	36	7	8	7	5	1124	27
('ä', 'p')	63	28	1	0	70	9	97	0	2	0	12	103	143	0
('â', 'k')	5	0	0	0	0	0	91	0	0	0	0	0	0	0
('ä', 'm')	325	89	2	0	262	33	1500	1	2	18	21	59	1530	1
('ä', 'o')	46	1	4	0	1	0	281	0	0	1	1	0	3	0
('u', 'b')	37	169	16	31	206	61	90	187	56	29	38	81	5283	436
('b', 's')	27	78	2	1	262	2	51	32	10	25	10	38	12955	140
('w', 't')	53	54	18	1	602	21	69	19	21	0	27	1	144	44
('a', 'ß')	57	295	0	0	441	17	54	0	0	12	8	38	3404	0
(' ', 'q')	63	149	0	0	149	7	45	13	7	21	20	14	4928	54
('q', 'u')	73	204	0	0	271	11	54	13	27	22	27	13	7605	201
('.', '.')	16	583	1095	90	394	1	201	364	92	79	79	324	487	127
('p', 'm')	85	78	15	13	126	2	25	116	15	9	5	2	432	63
('t', 'k')	379	236	23	22	172	10	353	184	84	58	12	68	1708	139
('f', 'u')	638	532	4	0	744	37	504	28	11	78	46	159	10253	154
('t', 'm')	140	269	11	14	715	19	166	100	38	57	30	77	3178	212
("'", 'r')	3	11	4	16	921	0	234	6	0	1	1	0	17	9
('t', 'd')	97	145	15	6	236	4	115	246	77	273	80	139	1243	179
('l', 'j')	26	107	21	10	90	13	33	49	12	15	12	28	112	169
('e', 'a')	190	58	151	1	111	3	245	137	370	122	42	51	9690	770
('ü', 'p')	61	42	0	0	89	17	69	0	0	8	7	36	188	0
(' ', '›')	0	24	0	0	483	0	0	0	0	0	0	0	0	0
('›', 'a')	0	1	0	0	44	0	0	0	0	0	0	0	0	0
('s', '‹')	0	0	0	0	15	0	0	0	0	0	0	0	0	0
('‹', ' ')	0	37	0	0	518	0	0	0	0	0	0	0	0	0
('›', 'w')	0	2	0	0	37	0	0	0	0	0	0	0	0	0
('n', 'm')	198	388	61	33	460	41	192	146	106	42	26	83	4226	305
('i', 'x')	166	727	5	0	175	9	150	17	1	48	25	1	2113	71
('x', ' ')	168	786	5	0	241	5	140	26	11	64	50	28	5673	240
('f', 'm')	21	52	12	1	45	3	13	21	14	3	2	7	655	40
('l', "'")	12	107	10	14	195	2	68	0	0	0	1	0	22	13
('ö', 'h')	97	635	1	0	497	213	265	0	0	81	28	275	2760	0
('n', 'l')	154	297	57	18	407	12	144	291	128	234	51	95	13952	619
('ß', 'i')	28	21	0	0	84	0	3	0	0	1	2	0	686	0
('b', 'ä')	140	159	6	0	395	41	279	0	6	5	98	181	555	1
('d', 'n')	22	51	5	0	90	2	30	5	18	6	14	42	2637	35
('h', 'f')	3	18	0	0	42	2	5	1	0	2	4	6	1533	4
(' ', 'à')	0	0	26	1	3	0	0	2	2	0	0	0	33	7
('à', ' ')	0	0	22	25	6	0	0	3	2	0	0	0	33	8
('k', 'h')	101	85	29	7	77	16	60	95	61	6	10	33	612	235
('g', 'å')	11	0	0	0	55	0	0	0	0	0	45	0	0	0
('å', 'r')	9	0	0	0	129	0	0	0	0	0	5	0	0	0
('t', 'g')	203	108	23	9	264	8	104	128	89	91	13	32	5659	614
('t', 'f')	69	175	3	0	242	25	89	24	2	34	14	51	4412	45
('s', 'q')	0	4	0	0	6	0	0	0	0	0	0	0	491	5
('h', 'd')	26	179	0	0	168	12	35	38	0	38	11	89	1315	4
('h', 'g')	5	20	0	0	133	1	15	1	0	12	4	1	1071	1
('l', 'g')	296	117	61	13	291	24	286	292	166	43	15	28	6769	1486
('a', "'")	3	92	16	6	38	1	7	1	0	2	0	0	2	1
('k', '.')	10	49	1	0	85	6	16	11	5	4	2	9	83	33
('a', 'b')	272	926	58	16	1167	225	682	278	61	88	38	1058	48142	639
('d', 'k')	27	78	19	5	55	2	33	70	29	14	5	56	830	107
(' ', 'œ')	0	1	0	0	45	0	0	0	0	0	79	0	0	0
('œ', 'w')	0	4	0	0	49	0	0	0	0	0	89	0	0	0
('e', '-')	13	13	58	6	19	1	47	67	60	24	12	147	16853	283
('-', 's')	4	44	16	5	111	1	47	31	19	71	10	75	13675	124
('p', 'k')	67	83	65	33	65	2	99	227	37	16	6	6	156	45
('r', '.')	33	85	5	5	164	19	32	16	11	4	3	34	445	155
('s', 'g')	61	92	51	3	149	5	71	74	51	16	13	38	11116	179
('ö', 'c')	312	506	8	8	723	35	460	35	20	54	96	35	1695	0
('i', "'")	3	98	25	3	137	0	186	0	3	5	4	0	3	0
('u', 'v')	3	307	217	81	45	4	31	303	56	116	9	1	949	115
('ü', 'w')	277	61	1	0	325	0	136	0	0	0	5	5	1	0
('ü', 'a')	116	0	0	0	0	0	2	0	0	0	0	0	0	0
('d', 'm')	34	142	2	4	106	2	23	31	19	2	2	17	2344	83
('-', '-')	23	0	0	2	0	29	7	1	0	0	0	3	0	65
('p', 'ä')	61	72	7	0	148	26	118	0	13	25	77	13	2884	0
('ä', 'i')	934	40	12	0	2	2	3159	1	0	8	5	4	1635	0
('ü', 'k')	53	142	3	1	109	15	70	0	0	24	1	157	6	0
('f', 'ä')	268	124	2	0	339	35	250	0	0	17	24	389	4031	0
('t', '´')	9	0	0	0	0	0	33	0	0	9	16	0	0	0
('´', ' ')	6	0	0	0	0	0	13	2	0	10	120	0	0	0
('ä', 'b')	17	27	0	0	67	3	113	0	0	0	157	577	188	0
("'", "'")	41	0	93	23	715	0	195	137	4	95	41	0	514	1090
('f', 'g')	76	41	17	6	76	8	35	29	24	7	13	9	2888	275
('l', 'y')	70	27	6	1	10	13	56	18	20	49	3	4	2592	160
('y', 'o')	2	4	0	0	5	0	1	15	11	6	4	0	596	51
('e', 'y')	1157	34	0	1	28	6	1331	24	16	2	3	12	1517	218
('y', 'f')	19	0	0	0	1	3	16	3	1	0	0	1	36	12
('g', 'ä')	200	98	14	0	159	10	264	0	4	8	108	18	1843	0
('i', 'ë')	218	0	29	14	0	0	5883	33	24	0	0	0	0	669
('ë', 't')	57	0	2	0	3	0	523	1	0	0	0	0	0	2
('v', 'ü')	157	3	9	0	22	0	614	0	0	0	0	0	0	0
('k', 'b')	18	51	8	2	58	1	30	96	56	14	3	35	1443	186
('i', 'o')	83	44	10	6	115	8	59	228	64	144	43	47	50373	1165
('ä', 'ö')	48	1	2	0	0	0	528	0	18	8	0	0	0	0
('p', 'n')	84	44	12	3	55	1	61	32	9	6	2	4	573	114
('p', 'b')	33	37	5	3	30	1	13	37	13	4	11	6	73	60
('f', 'b')	38	45	5	3	49	2	19	56	17	1	4	16	1273	60
('f', 'w')	34	17	8	6	56	2	16	60	19	8	6	26	1171	81
('l', 'r')	59	43	12	5	33	0	37	23	7	1	2	26	1066	65
('o', 'v')	28	274	295	200	106	29	126	1639	906	67	26	26	4915	2256
('s', 'r')	93	21	5	2	51	3	525	20	41	32	12	31	4113	179
('ü', ' ')	88	51	0	0	12	0	446	0	0	13	11	1067	63	0
('p', "'")	18	220	18	5	60	0	143	0	0	13	12	0	1	1
('ö', 'b')	7	351	0	0	33	1	113	6	0	4	12	64	98	0
(' ', '3')	2	13	4	0	6	1	66	64	26	24	5	16	7808	322
('3', '0')	1	4	0	0	4	0	23	26	4	7	2	2	2766	145
('0', '0')	5	21	3	0	17	2	46	135	83	92	39	8	24795	1165
('0', ' ')	22	32	15	0	22	3	112	167	42	91	43	25	23031	1167
('-', 'o')	2	19	3	14	370	2	6	27	14	11	0	5	2270	87
('s', 'ö')	229	587	3	0	318	13	199	1	2	92	47	185	543	0
('d', 'b')	85	60	8	2	78	1	23	53	27	20	6	26	1090	172
('m', 'y')	145	71	44	0	39	62	2	11	2	10	1	2	616	34
('i', 'z')	44	38	41	17	82	3	56	462	96	27	14	32	9119	296
('z', 'r')	0	4	0	0	14	1	11	1	0	0	0	0	335	0
('m', 'b')	36	265	21	15	308	1	150	159	67	49	11	26	7678	634
(' ', '1')	31	41	21	0	42	5	572	284	56	124	76	30	20919	2628
('1', '9')	3	3	1	0	0	0	87	134	20	50	35	3	4277	1421
('9', '1')	2	2	0	0	0	0	14	15	0	7	2	0	185	99
('1', '1')	0	4	0	0	1	2	27	15	5	10	7	0	1328	115
('1', ' ')	0	15	3	0	4	0	200	68	11	49	12	20	5102	593
('v', 't')	8	318	1	0	2	0	1	0	1	47	0	0	108	19
('m', '-')	0	63	1	0	7	0	20	9	4	9	7	32	6062	45
('-', 'h')	9	17	19	0	22	1	33	12	3	47	6	76	3336	99
('ü', 'z')	0	25	1	0	39	0	6	0	0	2	2	24	3	0
('z', "'")	0	2	16	9	0	0	10	5	0	0	0	0	0	20
('t', 'v')	8	137	46	14	77	1	20	111	60	17	12	14	2621	340
('e', 'ß')	19	116	0	0	187	9	42	0	0	1	7	7	4289	0
('f', 'k')	22	61	37	17	56	7	39	184	11	6	7	18	492	84
('g', 'ü')	93	296	4	0	391	27	113	0	0	29	36	664	1734	0
('z', 'k')	28	21	0	0	13	0	40	1	0	1	7	4	368	8
('w', 'r')	16	78	9	3	111	0	25	26	15	3	5	0	165	33
('b', 'n')	6	133	0	1	21	1	11	9	0	1	0	0	2049	3
('r', '-')	14	25	12	1	502	2	55	48	30	46	13	86	6945	124
('o', 'y')	2	55	1	0	1	1	0	10	11	3	0	0	635	88
('y', 's')	66	101	3	1	7	5	72	19	7	77	3	3	9785	147
('ä', 'e')	153	131	109	0	2	18	267	0	0	7	1	152	70	0
('a', 'z')	102	26	88	59	136	2	71	478	66	10	5	8	3967	179
('z', 'z')	1	2	60	81	6	0	14	1009	134	2	1	0	577	24
('k', 'v')	0	14	7	2	4	0	3	32	9	2	0	5	224	81
(' ', 'ê')	0	0	17	3	0	0	21	0	2	0	0	0	0	0
('ê', 't')	0	1	128	0	2	0	0	0	0	0	0	0	3	4
('ò', 'n')	0	0	52	0	0	0	0	5	0	0	0	0	0	0
('e', "'")	11	57	18	5	17	0	50	3	0	16	0	0	1	1
("'", 'k')	0	2	6	1	35	0	35	29	0	8	0	0	0	9
('g', 'm')	34	75	14	3	121	7	11	50	28	36	1	36	1374	93
("'", 'e')	13	4	756	7	15	0	1999	41	0	35	0	0	5	26
('j', 's')	0	0	27	58	0	0	2	185	34	0	0	0	29	606
('k', 'p')	2	10	3	2	11	2	8	20	14	6	1	12	973	40
("'", 'd')	1	9	6	0	11	0	37	37	0	5	0	0	6	14
('h', 'â')	2	0	15	214	0	0	21	0	0	0	0	0	0	5
('d', "'")	2	44	60	46	400	1	18	212	54	2	2	0	15	38
("'", 'o')	0	3	71	20	4	0	0	51	0	4	0	0	6	10
("'", 'h')	0	0	8	7	16	0	22	53	0	2	0	0	2	17
('m', 'à')	0	0	7	0	0	0	0	0	0	0	0	0	0	1
('â', ' ')	1	0	10	3	0	0	15	0	0	0	0	0	0	0
('l', 'â')	0	0	5	50	3	0	34	1	0	0	0	0	0	0
('1', '4')	6	4	2	0	1	0	36	21	4	7	1	6	1100	111
('4', ' ')	16	2	5	0	9	1	80	57	11	25	7	8	4149	509
('v', 'â')	7	0	3	1	0	0	251	0	0	0	0	0	0	0
('j', 't')	0	0	30	331	0	0	12	61	19	0	0	0	7	99
('e', 'ë')	1	9	33	10	2	0	12	20	17	0	0	0	0	49
('ë', 'n')	14	8	49	19	2	2	301	28	23	0	0	0	0	90
('j', 'ô')	0	0	21	0	0	0	3	0	0	0	0	0	0	0
('ô', ' ')	0	0	81	0	0	0	2	0	0	0	0	0	0	0
('ä', 'ä')	29	8	17	0	0	8	1732	0	0	72	18	1	1	0
(' ', 'è')	0	54	115	1	0	0	0	35	10	0	0	0	0	1
('è', 't')	0	19	78	0	0	0	2	3	1	0	0	0	0	0
('a', 'ê')	0	0	10	0	0	0	0	0	0	0	0	0	0	0
('ê', 'l')	0	0	18	9	0	0	1	0	0	0	0	0	0	0
('c', 'o')	4	15	14	1	70	5	24	232	231	20	14	44	24262	2178
('g', 'â')	0	0	8	19	0	0	20	0	0	0	0	0	0	0
('b', '.')	1	2	2	0	16	0	2	10	4	0	0	0	221	44
('.', 'v')	0	0	1	0	0	0	3	9	8	0	3	1	55	29
('v', '.')	0	6	4	1	3	0	20	5	3	0	1	0	199	60
(' ', '‘')	306	376	359	133	42	48	278	486	565	40	13	1	0	0
('‘', ' ')	312	403	367	135	41	31	278	486	597	40	13	1	0	0
('j', 'j')	4	0	37	4	0	0	188	9	4	0	0	0	4	2
('j', 'w')	0	0	1	10	0	0	0	15	6	0	0	0	2	58
('m', 'k')	18	69	14	18	90	2	67	115	13	6	7	3	501	43
('f', 'd')	28	24	132	34	35	1	12	315	147	13	11	69	194	712
('á', ' ')	0	0	1	1	0	0	0	0	0	0	0	0	6	0
('w', 'è')	0	24	86	0	0	0	0	29	0	0	0	0	0	1
('è', 'r')	0	84	196	1	1	0	3	95	5	0	1	0	6	36
('v', 'l')	4	12	120	40	3	0	18	371	154	5	0	0	95	1035
('n', 'ó')	0	0	70	0	0	0	0	12	6	0	0	0	0	1
('ó', 'w')	0	0	58	0	0	0	0	0	0	0	0	0	0	0
('e', 'j')	19	22	83	4	25	9	55	34	325	1	4	11	216	62
("'", 'u')	0	0	47	0	21	0	0	2	0	2	0	0	25	7
('m', "'")	2	47	18	10	19	2	87	1	0	2	2	0	0	8
("'", 'm')	15	12	32	1	173	3	124	17	2	2	0	0	5	12
('1', '2')	7	1	3	0	3	0	32	22	5	6	2	2	1997	108
('2', ' ')	10	10	7	0	9	0	72	62	14	33	3	7	5233	522
('-', 'c')	0	1	1	0	6	0	4	6	2	6	7	8	7524	103
('u', 'j')	2	8	20	8	7	1	10	20	35	1	1	0	365	7
(' ', '6')	4	3	6	0	2	0	21	34	9	8	7	4	4015	252
('6', ' ')	4	4	8	0	5	1	56	53	14	13	4	5	3684	489
("'", 'i')	0	0	63	0	1	0	3	12	0	11	0	0	11	6
